Date : 2023-08-12 15:10:49
Directory : f:\archlab_gem5\gem5
Total : 8923 files,  1356429 codes, 440589 comments, 272074 blanks, all 2069092 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C++              |      5,524 |    884,893 |    330,733 |    206,434 |  1,422,060 |
| Log              |        800 |    278,378 |          0 |     14,722 |    293,100 |
| Python           |      1,678 |    120,657 |     87,828 |     35,282 |    243,767 |
| C                |        437 |     24,894 |     16,500 |      5,211 |     46,605 |
| Markdown         |         55 |     13,779 |         11 |      4,436 |     18,226 |
| reStructuredText |         33 |      8,160 |        666 |      3,266 |     12,092 |
| XML              |         44 |      7,941 |      2,416 |        117 |     10,474 |
| JSON             |        208 |      6,881 |          0 |        208 |      7,089 |
| HTML             |          4 |      3,588 |          4 |        845 |      4,437 |
| YAML             |         25 |      2,299 |        308 |        455 |      3,062 |
| CMake            |          8 |      1,499 |          0 |        203 |      1,702 |
| Shell Script     |         20 |      1,083 |        761 |        257 |      2,101 |
| Properties       |         16 |        745 |        356 |        146 |      1,247 |
| Makefile         |         23 |        538 |        399 |        234 |      1,171 |
| Docker           |         16 |        297 |        464 |        102 |        863 |
| Ini              |          8 |        211 |          0 |         35 |        246 |
| SCSS             |          2 |        165 |          3 |         39 |        207 |
| Visual Basic     |         13 |        150 |          0 |         14 |        164 |
| Perl             |          1 |        125 |         75 |         32 |        232 |
| Java             |          2 |         82 |         65 |         26 |        173 |
| Diff             |          1 |         44 |          0 |          5 |         49 |
| pip requirements |          4 |         17 |          0 |          4 |         21 |
| CSS              |          1 |          3 |          0 |          1 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                  |      8,923 |  1,356,429 |    440,589 |    272,074 |  2,069,092 |
| . (Files)                                                                                                                                                          |          9 |      2,320 |        332 |        680 |      3,332 |
| .github                                                                                                                                                            |          6 |        489 |         61 |         60 |        610 |
| .github\ISSUE_TEMPLATE                                                                                                                                             |          1 |         40 |          0 |         23 |         63 |
| .github\workflows                                                                                                                                                  |          5 |        449 |         61 |         37 |        547 |
| build_tools                                                                                                                                                        |         13 |        972 |        967 |        283 |      2,222 |
| configs                                                                                                                                                            |        145 |     20,534 |      8,515 |      5,222 |     34,271 |
| configs\archlab                                                                                                                                                    |          1 |         36 |          5 |         13 |         54 |
| configs\archlab\lab1                                                                                                                                               |          1 |         36 |          5 |         13 |         54 |
| configs\boot                                                                                                                                                       |          1 |          1 |          0 |          1 |          2 |
| configs\common                                                                                                                                                     |         23 |      5,801 |      1,523 |      1,357 |      8,681 |
| configs\common (Files)                                                                                                                                             |         17 |      4,183 |      1,190 |        860 |      6,233 |
| configs\common\cores                                                                                                                                               |          6 |      1,618 |        333 |        497 |      2,448 |
| configs\common\cores (Files)                                                                                                                                       |          1 |          0 |         34 |          1 |         35 |
| configs\common\cores\arm                                                                                                                                           |          5 |      1,618 |        299 |        496 |      2,413 |
| configs\deprecated                                                                                                                                                 |          2 |        483 |        141 |        114 |        738 |
| configs\deprecated\example                                                                                                                                         |          2 |        483 |        141 |        114 |        738 |
| configs\dist                                                                                                                                                       |          1 |         39 |         31 |         15 |         85 |
| configs\dram                                                                                                                                                       |          3 |        460 |        252 |        158 |        870 |
| configs\example                                                                                                                                                    |         68 |      7,740 |      3,934 |      1,906 |     13,580 |
| configs\example (Files)                                                                                                                                            |         18 |      2,776 |      1,166 |        617 |      4,559 |
| configs\example\arm                                                                                                                                                |          9 |      1,803 |        549 |        407 |      2,759 |
| configs\example\gem5_library                                                                                                                                       |         23 |      1,483 |      1,425 |        479 |      3,387 |
| configs\example\gem5_library (Files)                                                                                                                               |         15 |      1,089 |        966 |        370 |      2,425 |
| configs\example\gem5_library\checkpoints                                                                                                                           |          4 |        206 |        261 |         60 |        527 |
| configs\example\gem5_library\dramsys                                                                                                                               |          2 |         57 |         84 |         15 |        156 |
| configs\example\gem5_library\looppoints                                                                                                                            |          2 |        131 |        114 |         34 |        279 |
| configs\example\gpufs                                                                                                                                              |         12 |      1,171 |        531 |        223 |      1,925 |
| configs\example\gpufs (Files)                                                                                                                                      |          9 |        634 |        393 |        154 |      1,181 |
| configs\example\gpufs\amd                                                                                                                                          |          1 |        210 |         33 |          7 |        250 |
| configs\example\gpufs\system                                                                                                                                       |          2 |        327 |        105 |         62 |        494 |
| configs\example\lupv                                                                                                                                               |          2 |         92 |         39 |         31 |        162 |
| configs\example\noc_config                                                                                                                                         |          1 |         25 |         46 |         19 |         90 |
| configs\example\riscv                                                                                                                                              |          1 |        189 |         88 |         57 |        334 |
| configs\example\sst                                                                                                                                                |          2 |        201 |         90 |         73 |        364 |
| configs\learning_gem5                                                                                                                                              |         14 |        639 |        750 |        298 |      1,687 |
| configs\learning_gem5\part1                                                                                                                                        |          5 |        216 |        235 |        110 |        561 |
| configs\learning_gem5\part2                                                                                                                                        |          4 |         91 |        181 |         54 |        326 |
| configs\learning_gem5\part3                                                                                                                                        |          5 |        332 |        334 |        134 |        800 |
| configs\network                                                                                                                                                    |          2 |        222 |         71 |         24 |        317 |
| configs\nvm                                                                                                                                                        |          2 |        277 |        147 |         96 |        520 |
| configs\ruby                                                                                                                                                       |         16 |      3,447 |      1,067 |        904 |      5,418 |
| configs\splash2                                                                                                                                                    |          2 |        389 |        137 |        122 |        648 |
| configs\topologies                                                                                                                                                 |         10 |      1,000 |        457 |        214 |      1,671 |
| ext                                                                                                                                                                |      1,765 |    299,575 |    105,831 |     74,247 |    479,653 |
| ext\Kconfiglib                                                                                                                                                     |         32 |      8,760 |      6,640 |      3,771 |     19,171 |
| ext\Kconfiglib (Files)                                                                                                                                             |         18 |      5,527 |      2,660 |      2,490 |     10,677 |
| ext\Kconfiglib\examples                                                                                                                                            |         12 |        379 |        670 |        229 |      1,278 |
| ext\Kconfiglib\import                                                                                                                                              |          1 |      2,840 |      3,310 |      1,043 |      7,193 |
| ext\Kconfiglib\tests                                                                                                                                               |          1 |         14 |          0 |          9 |         23 |
| ext\dnet                                                                                                                                                           |         14 |      1,191 |        301 |        224 |      1,716 |
| ext\drampower                                                                                                                                                      |         34 |      3,673 |      1,836 |        699 |      6,208 |
| ext\drampower (Files)                                                                                                                                              |          2 |        238 |         38 |         58 |        334 |
| ext\drampower\src                                                                                                                                                  |         30 |      3,328 |      1,693 |        613 |      5,634 |
| ext\drampower\src (Files)                                                                                                                                          |         28 |      3,235 |      1,609 |        583 |      5,427 |
| ext\drampower\src\libdrampower                                                                                                                                     |          2 |         93 |         84 |         30 |        207 |
| ext\drampower\test                                                                                                                                                 |          2 |        107 |        105 |         28 |        240 |
| ext\drampower\test\libdrampowertest                                                                                                                                |          2 |        107 |        105 |         28 |        240 |
| ext\dramsim2                                                                                                                                                       |          1 |         32 |         45 |         14 |         91 |
| ext\dramsim3                                                                                                                                                       |          1 |         20 |         40 |         10 |         70 |
| ext\dramsys                                                                                                                                                        |          1 |         49 |         27 |         21 |         97 |
| ext\dsent                                                                                                                                                          |        170 |     16,950 |      6,546 |      4,190 |     27,686 |
| ext\dsent (Files)                                                                                                                                                  |          3 |        405 |        115 |        108 |        628 |
| ext\dsent\configs                                                                                                                                                  |          7 |        296 |        199 |         91 |        586 |
| ext\dsent\libutil                                                                                                                                                  |         15 |      1,209 |        394 |        265 |      1,868 |
| ext\dsent\model                                                                                                                                                    |        138 |     14,461 |      5,591 |      3,569 |     23,621 |
| ext\dsent\model (Files)                                                                                                                                            |         14 |      2,193 |        732 |        485 |      3,410 |
| ext\dsent\model\electrical                                                                                                                                         |         34 |      4,101 |      1,243 |        886 |      6,230 |
| ext\dsent\model\electrical (Files)                                                                                                                                 |         28 |      3,289 |      1,037 |        724 |      5,050 |
| ext\dsent\model\electrical\router                                                                                                                                  |          6 |        812 |        206 |        162 |      1,180 |
| ext\dsent\model\network                                                                                                                                            |          6 |      1,141 |        223 |        176 |      1,540 |
| ext\dsent\model\optical                                                                                                                                            |         22 |      2,019 |        971 |        565 |      3,555 |
| ext\dsent\model\optical_graph                                                                                                                                      |         18 |        714 |        534 |        258 |      1,506 |
| ext\dsent\model\std_cells                                                                                                                                          |         28 |      3,456 |      1,395 |        916 |      5,767 |
| ext\dsent\model\timing_graph                                                                                                                                       |         16 |        837 |        493 |        283 |      1,613 |
| ext\dsent\tech                                                                                                                                                     |          2 |        257 |        117 |         68 |        442 |
| ext\dsent\util                                                                                                                                                     |          5 |        322 |        130 |         89 |        541 |
| ext\fputils                                                                                                                                                        |         10 |        494 |        534 |        154 |      1,182 |
| ext\fputils (Files)                                                                                                                                                |          4 |        255 |        125 |         70 |        450 |
| ext\fputils\include                                                                                                                                                |          3 |         75 |        319 |         46 |        440 |
| ext\fputils\include\fputils                                                                                                                                        |          3 |         75 |        319 |         46 |        440 |
| ext\fputils\tests                                                                                                                                                  |          3 |        164 |         90 |         38 |        292 |
| ext\gdbremote                                                                                                                                                      |          1 |        160 |         12 |         10 |        182 |
| ext\googletest                                                                                                                                                     |        220 |     65,795 |     23,294 |     16,813 |    105,902 |
| ext\googletest (Files)                                                                                                                                             |          3 |        216 |         31 |         85 |        332 |
| ext\googletest\ci                                                                                                                                                  |          2 |        122 |         67 |         16 |        205 |
| ext\googletest\docs                                                                                                                                                |         24 |     10,053 |          6 |      3,112 |     13,171 |
| ext\googletest\docs (Files)                                                                                                                                        |         15 |      7,700 |          2 |      2,096 |      9,798 |
| ext\googletest\docs\_data                                                                                                                                          |          1 |         43 |          0 |          1 |         44 |
| ext\googletest\docs\_layouts                                                                                                                                       |          1 |         57 |          0 |          2 |         59 |
| ext\googletest\docs\_sass                                                                                                                                          |          1 |        161 |          3 |         37 |        201 |
| ext\googletest\docs\assets                                                                                                                                         |          1 |          4 |          0 |          2 |          6 |
| ext\googletest\docs\assets\css                                                                                                                                     |          1 |          4 |          0 |          2 |          6 |
| ext\googletest\docs\reference                                                                                                                                      |          5 |      2,088 |          1 |        974 |      3,063 |
| ext\googletest\googlemock                                                                                                                                          |         52 |     22,830 |      7,194 |      5,260 |     35,284 |
| ext\googletest\googlemock (Files)                                                                                                                                  |          1 |         30 |          0 |         11 |         41 |
| ext\googletest\googlemock\docs                                                                                                                                     |          1 |          3 |          0 |          2 |          5 |
| ext\googletest\googlemock\include                                                                                                                                  |         16 |      7,443 |      3,778 |      1,581 |     12,802 |
| ext\googletest\googlemock\include\gmock                                                                                                                            |         16 |      7,443 |      3,778 |      1,581 |     12,802 |
| ext\googletest\googlemock\include\gmock (Files)                                                                                                                    |          9 |      6,950 |      3,394 |      1,455 |     11,799 |
| ext\googletest\googlemock\include\gmock\internal                                                                                                                   |          7 |        493 |        384 |        126 |      1,003 |
| ext\googletest\googlemock\include\gmock\internal (Files)                                                                                                           |          3 |        471 |        318 |        108 |        897 |
| ext\googletest\googlemock\include\gmock\internal\custom                                                                                                            |          4 |         22 |         66 |         18 |        106 |
| ext\googletest\googlemock\src                                                                                                                                      |          7 |      1,157 |        623 |        216 |      1,996 |
| ext\googletest\googlemock\test                                                                                                                                     |         27 |     14,197 |      2,793 |      3,450 |     20,440 |
| ext\googletest\googletest                                                                                                                                          |        139 |     32,574 |     15,996 |      8,340 |     56,910 |
| ext\googletest\googletest (Files)                                                                                                                                  |          1 |        159 |          0 |         59 |        218 |
| ext\googletest\googletest\cmake                                                                                                                                    |          1 |        320 |          0 |         23 |        343 |
| ext\googletest\googletest\docs                                                                                                                                     |          1 |          3 |          0 |          2 |          5 |
| ext\googletest\googletest\include                                                                                                                                  |         24 |      6,215 |      4,904 |      1,718 |     12,837 |
| ext\googletest\googletest\include\gtest                                                                                                                            |         24 |      6,215 |      4,904 |      1,718 |     12,837 |
| ext\googletest\googletest\include\gtest (Files)                                                                                                                    |         12 |      2,963 |      2,889 |        879 |      6,731 |
| ext\googletest\googletest\include\gtest\internal                                                                                                                   |         12 |      3,252 |      2,015 |        839 |      6,106 |
| ext\googletest\googletest\include\gtest\internal (Files)                                                                                                           |          8 |      3,215 |      1,914 |        813 |      5,942 |
| ext\googletest\googletest\include\gtest\internal\custom                                                                                                            |          4 |         37 |        101 |         26 |        164 |
| ext\googletest\googletest\samples                                                                                                                                  |         18 |        763 |      1,009 |        294 |      2,066 |
| ext\googletest\googletest\src                                                                                                                                      |         12 |      7,350 |      3,494 |      1,595 |     12,439 |
| ext\googletest\googletest\test                                                                                                                                     |         82 |     17,764 |      6,589 |      4,649 |     29,002 |
| ext\iostream3                                                                                                                                                      |          4 |        497 |        431 |        117 |      1,045 |
| ext\libelf                                                                                                                                                         |         65 |      7,994 |      2,762 |      1,870 |     12,626 |
| ext\libfdt                                                                                                                                                         |         12 |      1,516 |      1,543 |        429 |      3,488 |
| ext\mcpat                                                                                                                                                          |        100 |     30,674 |      7,483 |      3,795 |     41,952 |
| ext\mcpat (Files)                                                                                                                                                  |         46 |     14,819 |      4,617 |      1,567 |     21,003 |
| ext\mcpat\cacti                                                                                                                                                    |         43 |     12,925 |      2,761 |      2,166 |     17,852 |
| ext\mcpat\regression                                                                                                                                               |         11 |      2,930 |        105 |         62 |      3,097 |
| ext\mcpat\regression (Files)                                                                                                                                       |          2 |        323 |        105 |         53 |        481 |
| ext\mcpat\regression\test-0                                                                                                                                        |          1 |        404 |          0 |          1 |        405 |
| ext\mcpat\regression\test-1                                                                                                                                        |          1 |        811 |          0 |          1 |        812 |
| ext\mcpat\regression\test-2                                                                                                                                        |          1 |        242 |          0 |          1 |        243 |
| ext\mcpat\regression\test-3                                                                                                                                        |          1 |         71 |          0 |          1 |         72 |
| ext\mcpat\regression\test-4                                                                                                                                        |          1 |        208 |          0 |          1 |        209 |
| ext\mcpat\regression\test-5                                                                                                                                        |          1 |        338 |          0 |          1 |        339 |
| ext\mcpat\regression\test-6                                                                                                                                        |          1 |        401 |          0 |          1 |        402 |
| ext\mcpat\regression\test-7                                                                                                                                        |          1 |         68 |          0 |          1 |         69 |
| ext\mcpat\regression\test-8                                                                                                                                        |          1 |         64 |          0 |          1 |         65 |
| ext\nomali                                                                                                                                                         |         38 |      2,505 |      1,651 |        836 |      4,992 |
| ext\nomali (Files)                                                                                                                                                 |          4 |         76 |         95 |         41 |        212 |
| ext\nomali\include                                                                                                                                                 |          1 |         86 |        217 |         34 |        337 |
| ext\nomali\include\libnomali                                                                                                                                       |          1 |         86 |        217 |         34 |        337 |
| ext\nomali\lib                                                                                                                                                     |         25 |      1,982 |      1,187 |        645 |      3,814 |
| ext\nomali\tests                                                                                                                                                   |          8 |        361 |        152 |        116 |        629 |
| ext\ply                                                                                                                                                            |        165 |     14,411 |      2,628 |      4,657 |     21,696 |
| ext\ply (Files)                                                                                                                                                    |          3 |        234 |          9 |         76 |        319 |
| ext\ply\doc                                                                                                                                                        |          3 |      3,659 |         28 |        880 |      4,567 |
| ext\ply\example                                                                                                                                                    |         34 |      3,030 |        604 |      1,292 |      4,926 |
| ext\ply\example (Files)                                                                                                                                            |          1 |          1 |          1 |          1 |          3 |
| ext\ply\example\BASIC                                                                                                                                              |         18 |        973 |        100 |        265 |      1,338 |
| ext\ply\example\GardenSnake                                                                                                                                        |          1 |        379 |        222 |        177 |        778 |
| ext\ply\example\ansic                                                                                                                                              |          2 |        665 |        104 |        449 |      1,218 |
| ext\ply\example\calc                                                                                                                                               |          1 |         78 |         10 |         36 |        124 |
| ext\ply\example\calcdebug                                                                                                                                          |          1 |         83 |         10 |         37 |        130 |
| ext\ply\example\calceof                                                                                                                                            |          1 |         85 |         10 |         38 |        133 |
| ext\ply\example\classcalc                                                                                                                                          |          1 |        111 |         25 |         30 |        166 |
| ext\ply\example\closurecalc                                                                                                                                        |          1 |         85 |         15 |         33 |        133 |
| ext\ply\example\hedit                                                                                                                                              |          1 |         19 |         18 |         12 |         49 |
| ext\ply\example\newclasscalc                                                                                                                                       |          1 |        111 |         27 |         30 |        168 |
| ext\ply\example\optcalc                                                                                                                                            |          1 |         90 |         10 |         35 |        135 |
| ext\ply\example\unicalc                                                                                                                                            |          1 |         88 |         12 |         34 |        134 |
| ext\ply\example\yply                                                                                                                                               |          3 |        262 |         40 |        115 |        417 |
| ext\ply\ply                                                                                                                                                        |          6 |      3,489 |      1,397 |        835 |      5,721 |
| ext\ply\test                                                                                                                                                       |        119 |      3,999 |        590 |      1,574 |      6,163 |
| ext\ply\test (Files)                                                                                                                                               |         86 |      3,450 |        495 |      1,337 |      5,282 |
| ext\ply\test\pkg_test1                                                                                                                                             |          5 |         85 |         15 |         37 |        137 |
| ext\ply\test\pkg_test1 (Files)                                                                                                                                     |          1 |          4 |          2 |          4 |         10 |
| ext\ply\test\pkg_test1\parsing                                                                                                                                     |          4 |         81 |         13 |         33 |        127 |
| ext\ply\test\pkg_test2                                                                                                                                             |          6 |        115 |         18 |         45 |        178 |
| ext\ply\test\pkg_test2 (Files)                                                                                                                                     |          1 |          4 |          2 |          4 |         10 |
| ext\ply\test\pkg_test2\parsing                                                                                                                                     |          5 |        111 |         16 |         41 |        168 |
| ext\ply\test\pkg_test3                                                                                                                                             |          6 |         85 |         15 |         38 |        138 |
| ext\ply\test\pkg_test3 (Files)                                                                                                                                     |          1 |          4 |          2 |          4 |         10 |
| ext\ply\test\pkg_test3\generated                                                                                                                                   |          2 |          9 |          1 |          2 |         12 |
| ext\ply\test\pkg_test3\parsing                                                                                                                                     |          3 |         72 |         12 |         32 |        116 |
| ext\ply\test\pkg_test4                                                                                                                                             |          4 |         88 |         15 |         39 |        142 |
| ext\ply\test\pkg_test4 (Files)                                                                                                                                     |          1 |         16 |          3 |          7 |         26 |
| ext\ply\test\pkg_test4\parsing                                                                                                                                     |          3 |         72 |         12 |         32 |        116 |
| ext\ply\test\pkg_test5                                                                                                                                             |          5 |         87 |         15 |         37 |        139 |
| ext\ply\test\pkg_test5 (Files)                                                                                                                                     |          1 |          4 |          2 |          4 |         10 |
| ext\ply\test\pkg_test5\parsing                                                                                                                                     |          4 |         83 |         13 |         33 |        129 |
| ext\ply\test\pkg_test6                                                                                                                                             |          7 |         89 |         17 |         41 |        147 |
| ext\ply\test\pkg_test6 (Files)                                                                                                                                     |          1 |          4 |          2 |          4 |         10 |
| ext\ply\test\pkg_test6\parsing                                                                                                                                     |          6 |         85 |         15 |         37 |        137 |
| ext\pybind11                                                                                                                                                       |        214 |     43,703 |      6,866 |     10,424 |     60,993 |
